,job_id,title,rating,company,reviews,salary,location,skills,from_date,min_experience
1736,1736,Full - stack Developer,4.7,EnactOn,9,0,Surat,"('Full-stack Developer (MERN)', 'Stack Development', 'Full Stack', 'Stack', 'Mern', 'Development')",30+ Days,0
1737,1737,Product Intern,5.0,Sprinto Hq,2,0,Remote,"('security compliance', 'Data analysis', 'Information security', 'Business analytics', 'Analytical', 'SAAS', 'Mathematics', 'Customer experience')",30+ Days,0
1738,1738,Internship In Digital Marketing,4.7,Dynamisers Solutions,7,0,New Delhi,"('Display advertising', 'Email marketing', 'Social media', 'SEM', 'SEO', 'Digital marketing', 'Internship', 'Advertising')",30+ Days,0
1739,1739,Deep Learning Trainee,4.9,Medtoureasy,115,0,Remote,"('deep learning', 'Data analysis', 'PDF', 'Neural networks', 'Pathway', 'Machine learning', 'Healthcare', 'Natural language processing')",30+ Days,0
1740,1740,Marketing Analytics Trainee,4.9,Medtoureasy,115,0,Remote,"('Data analysis', 'Marketing analytics', 'PDF', 'data science', 'Healthcare', 'Data analytics', 'Budgeting', 'industrial training')",30+ Days,0
1741,1741,Associate Strategy & Analytics,4.0,Shopclues,173,0,"New Delhi, Gurgaon/Gurugram","('Communication Skills', 'Strategic Thinking', 'Problem Solving', 'Data Analysis', 'Science', 'Data Collection', 'Data Analytics', 'Statistics')",30+ Days,0
1742,1742,Email Marketer,1.0,Brand Burp Limited,4,0,Noida,"('Email Marketer', 'email', 'email marketing', 'marketing')",30+ Days,0
1743,1743,Internship,1.7,Axiom Market Research &amp; Consulting,8,0,Pune,"('Data analysis', 'Share market', 'Intern', 'Corporate', 'Stress management', 'Market research', 'Internship', 'Business operations')",30+ Days,0
1744,1744,Psychometric Assessments Research,3.9,Mettl,69,0,Gurgaon/Gurugram,"('Analytical skills', 'Text mining', 'Data analysis', 'Psychology', 'Agile', 'SPSS', 'Research', 'Stakeholder management')",30+ Days,0
1745,1745,Purchase Engineer/Officer,4.7,Quality Hr Services,17,0,Vapi,"('Procurement', 'ERP', 'Data analysis', 'Excel', 'People management skills', 'MIS', 'Market research', 'Taxation')",30+ Days,0
